#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
7.498590 1.3625854965 1.3197743859 1.3031403156 1.4995768966 1.7672593663 2.5323312452 2.8330154186 3.6682258926 2.1605190554 2.1314554169 2.3565770640 2.7351484510 3.4423466342 3.5407153726 4.4681438250 2.1325707204 2.4328286203 2.7882198891 2.7496597225 2.6595972870 4.0384308287 2.2112130240 1.8935297540 3.4370413629 3.9480147533 4.4496671829 .8730954192 1.5540085808 2.3064443532 2.3624722551 2.1592172264 3.0414639030 2.7977817439 1.0723143071 1.2947702405 1.9651319846
7.740480 1.3629908979 1.3198181228 1.3019870928 1.4999659303 1.7741722110 2.5368381998 2.8610792724 3.6691790640 2.1610566914 2.1322514615 2.3552102096 2.7478131518 3.4451610709 3.5587940937 4.4672971437 2.1330948442 2.4327631869 2.7905951120 2.7536910517 2.6756657462 4.0379732394 2.2104233409 1.8877702587 3.4395069209 3.9787891701 4.4493865621 .8905435450 1.5563672878 2.3423680610 2.3633751084 2.1679485448 3.0884290617 2.8058870040 1.1108964193 1.2901657271 1.9862236042
7.982370 1.3632503324 1.3198782396 1.3009418306 1.5003153085 1.7868071212 2.5413500926 2.8890737107 3.6701921751 2.1615789384 2.1330570085 2.3536650645 2.7659337695 3.4478837013 3.5769309861 4.4664495551 2.1336603430 2.4324231895 2.7984597983 2.7577342464 2.6918007925 4.0375145964 2.2099532788 1.8830073334 3.4419700752 4.0093631260 4.4491493436 .9159723727 1.5582192863 2.3775280373 2.3640540657 2.1820735616 3.1415878243 2.8174279376 1.1493778777 1.2855359840 2.0078284076
8.224260 1.3633569292 1.3199601234 1.3000131917 1.5006556329 1.8044458960 2.5458704460 2.9166823943 3.6712514719 2.1620922117 2.1338719160 2.3519835253 2.7886755166 3.4504952573 3.5949396940 4.4655720893 2.1342785558 2.4318635283 2.8110783520 2.7617698461 2.7078900918 4.0370420298 2.2097690702 1.8796420333 3.4444635236 4.0393656668 4.4489549898 .9477528675 1.5596542737 2.4114804960 2.3645193129 2.2005747474 3.1991405174 2.8316550869 1.1870424000 1.2808934417 2.0293772613
8.466150 1.3633287265 1.3200490052 1.2992003529 1.5010154596 1.8262753954 2.5503998043 2.9436693186 3.6723821163 2.1626013863 2.1347264824 2.3502345181 2.8151494290 3.4530006533 3.6126979766 4.4646986918 2.1349413697 2.4311222681 2.8276202248 2.7657720205 2.7238224232 4.0365693303 2.2098011849 1.8780160945 3.4469814621 4.0685076483 4.4488055287 .9841698424 1.5607573750 2.4439479849 2.3648242007 2.2223468835 3.2593574735 2.8477921337 1.2233774746 1.2762813502 2.0504591414
8.708040 1.3631362679 1.3201317713 1.2984972711 1.5014191752 1.8514979141 2.5549225087 2.9698732298 3.6735843568 2.1630804089 2.1355807107 2.3484460244 2.8444553185 3.4553623033 3.6301031036 4.4638124801 2.1356334680 2.4302368069 2.8473036959 2.7697099360 2.7395082898 4.0360942895 2.2099942273 1.8784058647 3.4495156568 4.0966061272 4.4486979022 1.0236584587 1.5615918605 2.4747877069 2.3649969458 2.2463662500 3.3207668682 2.8651035181 1.2580525334 1.2717311029 2.0707782128
8.949930 1.3628115333 1.3202181027 1.2979143542 1.5018842549 1.8793590112 2.5594290463 2.9952329142 3.6748554239 2.1635555514 2.1364646285 2.3466865780 2.8758382241 3.4575893570 3.6471409030 4.4629301196 2.1363671254 2.4292545866 2.8694255021 2.7735717639 2.7548968734 4.0356233707 2.2103241513 1.8809682194 3.4520849407 4.1236163110 4.4486509993 1.0649122289 1.5622121478 2.5040018561 2.3650596135 2.2717659844 3.3822413794 2.8829735612 1.2909266230 1.2672627236 2.0901789031
9.191820 1.3623330712 1.3203013059 1.2974590899 1.5024197074 1.9092039928 2.5638928905 3.0197469608 3.6762064882 2.1640004204 2.1373582378 2.3449692523 2.9086196973 3.4596443217 3.6638069714 4.4620537106 2.1371391422 2.4281984319 2.8933846308 2.7773318935 2.7699685039 4.0351736948 2.2107684086 1.8857131427 3.4546794427 4.1495590095 4.4486861904 1.1069498418 1.5626403404 2.5316648402 2.3650425484 2.2978814196 3.4430051295 2.9009669435 1.3219890630 1.2629191944 2.1086125802
9.433710 1.3617430130 1.3203948042 1.2971038455 1.5030453138 1.9404722581 2.5682741130 3.0433800938 3.6776338868 2.1644399206 2.1382717335 2.3433510723 2.9423107790 3.4615126805 3.6800675489 4.4611994735 2.1379462120 2.4271100639 2.9186870019 2.7809501660 2.7846919907 4.0347524662 2.2113136123 1.8925191723 3.4572608703 4.1744001978 4.4487982214 1.1491022251 1.5628737594 2.5577729971 2.3649420798 2.3242469858 3.5024623640 2.9188048786 1.3511848619 1.2587482040 2.1259905354
9.675600 1.3610195224 1.3205202060 1.2968782929 1.5037223659 1.9728600593 2.5725282051 3.0664382011 3.6791264561 2.1648650436 2.1392152763 2.3418370970 2.9766261062 3.4631589087 3.6961824808 4.4603724098 2.1387987691 2.4259705840 2.9450834731 2.7844259345 2.7992173667 4.0343688051 2.2119366469 1.9013355278 3.4597968771 4.1984961748 4.4489945677 1.1909877014 1.5628576891 2.5827746519 2.3647737183 2.3505418900 3.5607288220 2.9362922961 1.3789867253 1.2547532219 2.1425898665
9.917490 1.3601696430 1.3206765226 1.2967639066 1.5044556060 2.0060467981 2.5766320950 3.0888960661 3.6806890938 2.1652677788 2.1401588717 2.3404419352 3.0112998192 3.4645664861 3.7121165013 4.4595817929 2.1396790517 2.4247816499 2.9722883669 2.7877350986 2.8135126864 4.0340288672 2.2126615273 1.9120141743 3.4622857332 4.2218370762 4.4493064200 1.2323704430 1.5625698488 2.6066499090 2.3645347064 2.3765879006 3.6175623850 2.9533614370 1.4053881023 1.2509644467 2.1583778547
10.159380 1.3592140896 1.3208730267 1.2967653840 1.5052368422 2.0397260489 2.5805691577 3.1106776070 3.6823226661 2.1656569940 2.1411426690 2.3391827915 3.0460966808 3.4657357898 3.7277869980 4.4588416049 2.1405931698 2.4235445508 3.0000311239 2.7908665587 2.8275341282 4.0337443543 2.2134806687 1.9243466897 3.4647064638 4.2443543705 4.4497289119 1.2730230687 1.5620005776 2.6293067945 2.3642289201 2.4022063982 3.6726565688 2.9699277474 1.4303146883 1.2474053082 2.1732653895
10.401270 1.3581455807 1.3211185741 1.2968881562 1.5060505956 2.0735730935 2.5843106673 3.1316835445 3.6840260481 2.1660260950 2.1421467794 2.3380554371 3.0807395337 3.4666561419 3.7430999444 4.4581660228 2.1415437544 2.4222564886 3.0280155011 2.7937979467 2.8412066356 4.0335251093 2.2144021265 1.9381328546 3.4670488668 4.2659709689 4.4502812841 1.3126960227 1.5611382967 2.6506475154 2.3638671363 2.4271794956 3.7256688396 2.9858772576 1.4536966980 1.2441082999 2.1871834445
10.643160 1.3569695324 1.3214299626 1.2971381055 1.5068849676 2.1072568477 2.5878509514 3.1518234358 3.6858012465 2.1663845898 2.1431812185 2.3370545814 3.1149514907 3.4673272962 3.7579485295 4.4575569529 2.1425417054 2.4209281944 3.0559402706 2.7965302411 2.8544457815 4.0333878247 2.2154279293 1.9531594892 3.4693220607 4.2866193206 4.4509827037 1.3511058834 1.5599979998 2.6706125131 2.3634656475 2.4512729432 3.7762606374 3.0010636218 1.4754977744 1.2410905139 2.2001083926
10.885050 1.3556859509 1.3218015289 1.2975081158 1.5077256613 2.1404234901 2.5911931411 3.1710560489 3.6876393036 2.1667212517 2.1442361499 2.3361795979 3.1484206012 3.4677707407 3.7722648317 4.4570215558 2.1435750677 2.4195547382 3.0834681605 2.7990644277 2.8672024634 4.0333299228 2.2165259916 1.9691644832 3.4715178437 4.3062728335 4.4518135644 1.3879235532 1.5586127244 2.6892229063 2.3630386383 2.4742293166 3.8241527212 3.0153023953 1.4957685800 1.2383510350 2.2120825450
