#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
17.174190 0.0452654 0.357305 0.321201 0.164648 0.158028 0.235228 0.24131 0.220133 0.204555 0.303417 0.28736 5.90088 1.55542 0.638952 0.635069 3.3619 1.25052 0.747912 0.908333 0.440522 9.34078
17.416080 0.0449229 0.359302 0.320757 0.1609 0.159323 0.242016 0.236912 0.217971 0.199288 0.309455 0.273842 6.21861 1.56956 0.64895 0.635211 3.20119 1.25265 0.720906 0.915996 0.43373 10.5714
17.657970 0.0445588 0.365498 0.31602 0.156836 0.162465 0.247756 0.228813 0.216523 0.194402 0.319323 0.253268 6.54128 1.5875 0.646687 0.651276 3.16602 1.26684 0.70815 0.914902 0.443263 14.5592
17.899860 0.0442147 0.376137 0.306022 0.152567 0.171083 0.248224 0.216806 0.215955 0.189955 0.334118 0.225217 6.8193 1.60321 0.62427 0.689756 3.25719 1.27688 0.742253 0.891564 0.495411 23.5872
18.141750 0.0437244 0.390985 0.289977 0.148182 0.191859 0.237534 0.201528 0.215974 0.186088 0.348741 0.19632 6.95341 1.6072 0.584563 0.742948 3.49344 1.23409 0.892981 0.814335 0.620255 34.6805
18.383640 0.0432607 0.408877 0.267814 0.143769 0.219554 0.216514 0.183818 0.215947 0.182945 0.348741 0.193998 6.81118 1.58886 0.577392 0.768165 3.9121 1.10681 1.14161 0.684435 0.767439 31.246
18.625530 0.0428773 0.427877 0.240723 0.139417 0.238044 0.199974 0.165153 0.214963 0.180701 0.338257 0.211613 6.29849 1.54056 0.620376 0.754057 4.57473 0.98086 1.36069 0.577876 0.859886 19.8413
18.867420 0.0424949 0.445538 0.211558 0.135185 0.248019 0.191267 0.147326 0.212176 0.179545 0.328828 0.226976 5.46266 1.46318 0.675284 0.726076 5.57856 0.902454 1.53811 0.514622 0.919633 12.3176
19.109310 0.0420485 0.460342 0.183832 0.131052 0.253928 0.187007 0.132149 0.207078 0.179882 0.322495 0.237598 4.48691 1.36909 0.725423 0.699221 7.08342 0.865992 1.6939 0.479608 0.98968 8.21448
19.351200 0.0415893 0.471799 0.160486 0.126889 0.257961 0.184934 0.120269 0.199787 0.182232 0.318467 0.244992 3.56556 1.27957 0.767278 0.678736 9.22746 0.863687 1.82068 0.473504 1.12313 5.88366
